Date,SPY_Volume,SPY_Volume_Change
2021-02-05,48669800,0.03188166368445877
2021-02-08,38365200,-0.23790791582845472
2021-02-09,35551100,-0.07617970059559909
2021-02-10,59154400,0.5091798767038327
2021-02-11,42913300,-0.3209691736124185
2021-02-12,50593300,0.16463735526240697
2021-02-16,50972400,0.007465153305791006
2021-02-17,52290600,0.025532312838617344
2021-02-18,59712800,0.13272978017363002
2021-02-19,83241000,0.33219361213119925
2021-02-22,67414200,-0.21088433668793982
2021-02-23,107284100,0.46462477777068756
2021-02-24,72433900,-0.39280603414163906
2021-02-25,146670500,0.705514152416832
2021-02-26,152701600,0.04029711596496455
2021-03-01,105348800,-0.37120894064867827
2021-03-02,79595300,-0.2803217037016026
2021-03-03,119940200,0.4100382393584212
2021-03-04,183433000,0.42485619296594024
2021-03-05,152039600,-0.187708464974353
2021-03-08,123149200,-0.2107443848284447
2021-03-09,113633600,-0.08041739120029234
2021-03-10,109899400,-0.03341383531621034
2021-03-11,86245000,-0.24237331866943634
2021-03-12,64653600,-0.28814829509429174
2021-03-15,73427200,0.1272506510603293
2021-03-16,73722500,0.004013605143825316
2021-03-17,97959300,0.2842440419581962
2021-03-18,115349100,0.1634110959639692
2021-03-19,113624500,-0.015064030200704792
2021-03-22,73778600,-0.4318304353914897
2021-03-23,90686600,0.20634088974852105
2021-03-24,97588600,0.07335107691337583
2021-03-25,116128600,0.17393751441158045
2021-03-26,114409100,-0.014917576493232332
2021-03-29,108107600,-0.05665359378991397
2021-03-30,76262200,-0.3489496247578714
2021-03-31,112734200,0.3908554328366556
2021-04-01,99682900,-0.12303868781168248
2021-04-05,91684800,-0.08363754009701552
2021-04-06,62021000,-0.3908835702435063
2021-04-07,55836300,-0.10504884185954566
2021-04-08,57863100,0.035655680200076034
2021-04-09,61104600,0.05450727404551259
2021-04-12,56704900,-0.0747265230065608
2021-04-13,56551000,-0.002717740881081454
2021-04-14,61659900,0.0864909147880013
2021-04-15,60229800,-0.023466554213975144
2021-04-16,82037300,0.30900677544161326
2021-04-19,78498500,-0.04409450556183714
2021-04-20,81851800,0.04183077869756602
2021-04-21,66793000,-0.2033120103905688
2021-04-22,97582800,0.3791029637480676
2021-04-23,73209200,-0.2873801522506838
2021-04-26,52182400,-0.338575822845101
2021-04-27,51303100,-0.01699409408394459
2021-04-28,51238900,-0.0012521700062109176
2021-04-29,78544300,0.4271637876289134
2021-04-30,85527000,0.08516931874181921
2021-05-03,68128300,-0.22743942338821554
2021-05-04,101591200,0.39956422504274514
2021-05-05,60162200,-0.523912669098042
2021-05-06,74321400,0.2113546836659097
2021-05-07,67733800,-0.09281361501153285
2021-05-10,81852400,0.1893323085413634
2021-05-11,116888000,0.3562985860521586
2021-05-12,134811000,0.1426575861530175
2021-05-13,106394000,-0.23672461318273363
2021-05-14,82201600,-0.25797441774717456
2021-05-17,65129200,-0.23280177723607665
2021-05-18,59810200,-0.08519677438352247
2021-05-19,106467100,0.5766598022627214
2021-05-20,78022200,-0.3108426156570836
2021-05-21,76578700,-0.018674431385548473
2021-05-24,51376700,-0.39913420790011855
2021-05-25,57451400,0.11175461072111403
2021-05-26,43088600,-0.28768091205137125
2021-05-27,56707700,0.27465154301951245
2021-05-28,58520200,0.031461989798557966
2021-06-01,54216600,-0.07638485916476867
2021-06-02,49097100,-0.09918716469658762
2021-06-03,58138800,0.16903328516312044
2021-06-04,55938800,-0.03857501909435612
2021-06-07,51555000,-0.08160903701858047
2021-06-08,47134300,-0.08964822519207871
2021-06-09,48436300,0.027248558835303527
2021-06-10,51020100,0.05197014011429246
2021-06-11,45570800,-0.11295251219646474
2021-06-14,42358500,-0.0730980511896
2021-06-15,51508500,0.19557773325301042
2021-06-16,80386100,0.44509443307197927
2021-06-17,90949700,0.12346533077667488
2021-06-18,118676300,0.2660930122212797
2021-06-21,72822000,-0.48838151131202423
2021-06-22,57700300,-0.23275573454498044
2021-06-23,49445400,-0.15439334232132396
2021-06-24,45110300,-0.09175842867767514
2021-06-25,58129500,0.25356267845733527
2021-06-28,53159600,-0.0893745709033773
2021-06-29,35970500,-0.3905995512787186
2021-06-30,64827900,0.5890369081677989
2021-07-01,53441000,-0.19315782462317443
2021-07-02,57697700,0.0766390697395849
2021-07-06,68710400,0.17468325922720496
2021-07-07,63549500,-0.07808144081105439
2021-07-08,97595200,0.42900918209788586
2021-07-09,76238600,-0.24696041576844863
2021-07-12,52889600,-0.36566117393037345
2021-07-13,52911300,0.00041020445581096965
2021-07-14,64130400,0.19230158383296825
2021-07-15,55126400,-0.1512897802018287
2021-07-16,75874700,0.3194545652304335
2021-07-19,147987000,0.668041136567961
2021-07-20,99608200,-0.3958799415493566
2021-07-21,64724400,-0.43110623491272904
2021-07-22,47878500,-0.30147170372799437
